Gene Symbol,Characteristics [Cell Line],count,Score - nuclei stay close together (manual),Score - strange nuclear shape (manual),Score - segregation problems/chromatin bridges/lagging chromosomes/multiple DNA masses (manual),Score - cell migration (manual),Score - metaphase delay/arrest (manual),Score - cell death (manual),Score - metaphase alignment problems/including no metaphase (manual),Score - pulsating nuclei (manual),Score - small nucleus (manual),Score - prometaphase delay/arrest (manual),Score - condensation followed by decondensation without completion of mitosis (manual),Score - large nucleus (manual),Score - failure in decondensation (manual),Score - condensation without mitosis/collapse of nucleus (manual),Score - reduced mitotic index (manual),Score - other (manual),Score - no phenotype (manual),Score - cell death (automatic),Score - binuclear (automatic),Score - polylobed (automatic),Score - large (automatic),Score - dynamic changes (automatic),Score - mitotic delay/arrest (automatic),Score - grape (automatic),Score - migration (speed) (automatic),Score - migration (distance) (automatic),Score - increased proliferation (automatic)
ABCA1,HeLa,3,,,,,,,,,,,,,,,,,,0.02153566666666667,0.04645233333333334,0.03339266666666667,-0.0019436666666666665,0.02889466666666667,0.009166,0.0012326666666666666,0.10295766666666667,-2.098134,0.1618973333333333
ABCA10,HeLa,2,,,,,,,,,,,,,,,,,,0.028414000000000002,0.055614,0.108538,0.003917,0.0644945,0.0035785,0.0044535,0.167325,-8.020376,-0.014076499999999992
ABCA12,HeLa,6,,,,,,,,,,,,,,,,,,0.008154,0.011495166666666666,0.01471,0.004202,0.008554833333333333,0.0023641666666666668,0.004942333333333333,0.9712596666666666,4.460256333333334,0.149236
ABCA13,HeLa,6,,,,,,,,,,,,,,,,,,0.009440166666666668,0.016741166666666665,0.02069316666666667,0.012798833333333334,0.011603499999999997,0.0052065,0.0012283333333333332,0.5173903333333333,2.432503666666667,0.4513756666666667
ABCA2,HeLa,3,,,,,,,,,,,,,,,,,,0.007174000000000001,0.010412666666666666,-0.00014033333333333375,0.027462666666666666,0.0009130000000000001,0.0034770000000000005,-2.2333333333333335e-05,0.272364,3.1967,0.8270953333333333
ABCA3,HeLa,4,,,,,,,,,,,,,,,,,,0.008546,0.007008749999999999,0.02473825,0.034369,0.00843125,0.018555000000000002,0.00271325,0.46928475000000003,0.9961305,0.61616875
ABCA4,HeLa,6,,,,,,,,,,,,,,,,,,0.012103833333333333,0.03664033333333334,0.009320833333333334,0.00014166666666666638,0.011997500000000001,0.0095665,0.001935,0.850097,5.4947729999999995,-0.35893183333333334
ABCA5,HeLa,6,,,,,,,,,,,,,,,,,,-0.001314,0.01716883333333333,0.038100666666666665,0.006907833333333333,0.037941333333333334,0.01613516666666667,0.005417666666666667,0.45591166666666666,-0.7445965,0.15139333333333332
ABCA6,HeLa,3,,,,,,,,,,,,,,,,,,0.009210333333333334,0.0037960000000000003,0.016398333333333334,0.003691333333333333,-0.005665666666666666,0.0017473333333333334,0.002387666666666667,0.6802389999999999,6.7316183333333335,0.1748626666666667
ABCA7,HeLa,6,,,,,,,,,,,,,,,,,,0.01865333333333333,0.014136166666666665,0.018291333333333333,0.008478166666666667,0.022102499999999997,0.00805,0.0040665,-0.0696645,0.06917850000000003,0.23802933333333334
